y seatbelt time
12 0 1
6 0 2
12 0 3
8 0 4
10 0 5
13 0 6
11 0 7
6 0 8
10 0 9
16 0 10
13 0 11
14 0 12
14 0 13
6 0 14
8 0 15
11 0 16
7 0 17
13 0 18
13 0 19
11 0 20
11 0 21
14 0 22
16 0 23
14 0 24
17 0 25
16 0 26
15 0 27
13 0 28
13 0 29
15 0 30
12 0 31
6 0 32
9 0 33
13 0 34
14 0 35
15 0 36
14 0 37
3 0 38
12 0 39
13 0 40
12 0 41
8 0 42
8 0 43
15 0 44
8 0 45
5 0 46
17 0 47
14 0 48
13 0 49
5 0 50
8 0 51
5 0 52
12 0 53
11 0 54
13 0 55
15 0 56
11 0 57
11 0 58
10 0 59
13 0 60
8 0 61
6 0 62
8 0 63
14 0 64
12 0 65
14 0 66
13 0 67
9 0 68
4 0 69
13 0 70
6 0 71
15 0 72
12 0 73
16 0 74
7 0 75
12 0 76
10 0 77
9 0 78
9 0 79
6 0 80
7 0 81
13 0 82
14 0 83
13 0 84
14 0 85
11 0 86
11 0 87
10 0 88
4 0 89
8 0 90
9 0 91
10 0 92
10 0 93
5 0 94
13 0 95
12 0 96
10 0 97
9 0 98
7 0 99
5 0 100
10 0 101
5 0 102
6 0 103
8 0 104
6 0 105
12 0 106
15 0 107
7 0 108
14 0 109
4 0 110
10 0 111
8 0 112
7 0 113
11 0 114
3 0 115
5 0 116
11 0 117
10 0 118
10 0 119
7 0 120
10 0 121
11 0 122
9 0 123
7 0 124
8 0 125
13 0 126
8 0 127
5 0 128
8 0 129
7 0 130
12 0 131
10 0 132
7 0 133
4 0 134
10 0 135
4 0 136
8 0 137
8 0 138
7 0 139
10 0 140
8 0 141
14 0 142
8 0 143
9 0 144
8 0 145
6 0 146
7 0 147
6 0 148
5 0 149
4 0 150
5 0 151
10 0 152
7 0 153
10 0 154
12 0 155
7 0 156
4 0 157
5 0 158
6 0 159
4 0 160
4 0 161
8 0 162
8 0 163
3 0 164
7 0 165
12 0 166
2 0 167
7 0 168
8 0 169
3 1 170
2 1 171
6 1 172
3 1 173
7 1 174
6 1 175
8 1 176
8 1 177
4 1 178
3 1 179
5 1 180
5 1 181
3 1 182
4 1 183
3 1 184
6 1 185
6 1 186
7 1 187
5 1 188
7 1 189
7 1 190
4 1 191
7 1 192
