Year	month	mo	mumps
1928	Jan	1	124
1928	Feb	2	132
1928	Mar	3	193
1928	Apr	4	144
1928	May	5	195
1928	Jun	6	105
1928	Jul	7	40
1928	Aug	8	20
1928	Sep	9	42
1928	Oct	10	58
1928	Nov	11	170
1928	Dec	12	197
1929	Jan	1	329
1929	Feb	2	417
1929	Mar	3	968
1929	Apr	4	989
1929	May	5	1264
1929	Jun	6	1074
1929	Jul	7	352
1929	Aug	8	118
1929	Sep	9	69
1929	Oct	10	91
1929	Nov	11	182
1929	Dec	12	233
1930	Jan	1	406
1930	Feb	2	550
1930	Mar	3	853
1930	Apr	4	835
1930	May	5	787
1930	Jun	6	518
1930	Jul	7	132
1930	Aug	8	66
1930	Sep	9	57
1930	Oct	10	77
1930	Nov	11	83
1930	Dec	12	138
1931	Jan	1	116
1931	Feb	2	177
1931	Mar	3	288
1931	Apr	4	299
1931	May	5	315
1931	Jun	6	329
1931	Jul	7	143
1931	Aug	8	50
1931	Sep	9	59
1931	Oct	10	74
1931	Nov	11	110
1931	Dec	12	180
1932	Jan	1	361
1932	Feb	2	556
1932	Mar	3	687
1932	Apr	4	821
1932	May	5	799
1932	Jun	6	901
1932	Jul	7	478
1932	Aug	8	212
1932	Sep	9	153
1932	Oct	10	207
1932	Nov	11	386
1932	Dec	12	576
1933	Jan	1	807
1933	Feb	2	923
1933	Mar	3	1604
1933	Apr	4	1475
1933	May	5	1123
1933	Jun	6	662
1933	Jul	7	253
1933	Aug	8	116
1933	Sep	9	70
1933	Oct	10	107
1933	Nov	11	147
1933	Dec	12	155
1934	Jan	1	266
1934	Feb	2	249
1934	Mar	3	406
1934	Apr	4	452
1934	May	5	547
1934	Jun	6	472
1934	Jul	7	213
1934	Aug	8	136	
1934	Sep	9	114	
1934	Oct	10	137	
1934	Nov	11	276	
1934	Dec	12	341	
1935	Jan	1	688	
1935	Feb	2	935	
1935	Mar	3	1850	
1935	Apr	4	1938	
1935	May	5	1806	
1935	Jun	6	1030	
1935	Jul	7	472	
1935	Aug	8	151	
1935	Sep	9	123	
1935	Oct	10	133	
1935	Nov	11	195	
1935	Dec	12	255	
1936	Jan	1	357	
1936	Feb	2	386	
1936	Mar	3	543	
1936	Apr	4	645	
1936	May	5	668	
1936	Jun	6	659	
1936	Jul	7	276	
1936	Aug	8	142	
1936	Sep	9	93	
1936	Oct	10	82	
1936	Nov	11	122	
1936	Dec	12	225	
1937	Jan	1	315	
1937	Feb	2	360	
1937	Mar	3	777	
1937	Apr	4	1070	
1937	May	5	1115	
1937	Jun	6	1200	
1937	Jul	7	550	
1937	Aug	8	279	
1937	Sep	9	154	
1937	Oct	10	170	
1937	Nov	11	290	
1937	Dec	12	488	
1938	Jan	1	764	
1938	Feb	2	990	
1938	Mar	3	1695	
1938	Apr	4	1738	
1938	May	5	1295	
1938	Jun	6	1026	
1938	Jul	7	345	
